V |                      | ArgumentsFromParametersFile.OnBuildCreated (150)
V |                      | Passing value for Build.Solution (Book/Book.sln)
V |                      | InjectParameterValues.OnBuildCreated (100)
V |                      | HandleShellCompletion.OnBuildCreated (75)
V |                      | GenerateBuildServerConfigurations.OnBuildCreated (50)
V |                      | InvokeBuildServerConfigurationGeneration.OnBuildCreated (45)
V |                      | UpdateNotification.OnBuildCreated (10)
V |                      | UnsetVisualStudioEnvironmentVariables.OnBuildCreated (0)
V |                      | HandleVisualStudioDebugging.OnBuildCreated (0)
V |                      | EventInvoker.OnBuildCreated (-3.4028235E+38)
V |                      | HandleHelpRequests.OnBuildInitialized (5)
V |                      | CheckBuildProjectConfigurations.OnBuildInitialized (0)
V |                      | Telemetry.OnBuildInitialized (0)
V |                      | Sending BuildStarted telemetry event ...
V |                      |   build_components         = 
V |                      |   build_type               = Project
V |                      |   compile_time             = 4
V |                      |   config_generators        = 
V |                      |   host                     = Terminal
V |                      |   num_custom_components    = 0
V |                      |   num_custom_extensions    = 0
V |                      |   num_partitioned_targets  = 0
V |                      |   num_secrets              = 0
V |                      |   num_targets              = 8
V |                      |   os_architecture          = X64
V |                      |   os_platform              = Windows
V |                      |   repo_branch              = main
V |                      |   repo_commit              = 71fda3
V |                      |   repo_provider            = <null>
V |                      |   repo_url                 = 284d07
V |                      |   target_framework         = .NETCoreApp,Version=v6.0
V |                      |   version_dotnet_sdk       = 6.0.300
V |                      |   version_nuke_common      = 6.0.3
V |                      |   version_nuke_global_tool = 6.0.3
V |                      | InjectNonParameterValues.OnBuildInitialized (-100)
V |                      | EventInvoker.OnBuildInitialized (-3.4028235E+38)
V | GitTesting           | EventInvoker.OnTargetRunning (-3.4028235E+38)
I | GitTesting           | Hello there!
V | GitTesting           | Telemetry.OnTargetSucceeded (0)
V | GitTesting           | EventInvoker.OnTargetSucceeded (-3.4028235E+38)
V |                      | UpdateNotification.OnBuildFinished (10)
V |                      | SerializeBuildServerState.OnBuildFinished (0)
V |                      | ShutdownDotNetAfterServerBuild.OnBuildFinished (-50)
V |                      | EventInvoker.OnBuildFinished (-3.4028235E+38)
